country_origin_id,country_destination_id,import_val
NLD,GBR,192999493.4
NOR,GBR,135725.55
POL,GBR,306295169.1
PRT,GBR,167466.02
ROU,GBR,2678000.09
RUS,GBR,21462
SRB,GBR,392226.76
SVK,GBR,29583496.41
SVN,GBR,18748.36
SWE,GBR,8509426.89
UKR,GBR,3667.01
BLZ,GBR,7438
BRB,GBR,1384.41
CAN,GBR,738804.4
DOM,GBR,26500
GRD,GBR,71353.3
JAM,GBR,9768
MEX,GBR,94444.13
TTO,GBR,8474.15
USA,GBR,39551867.47
AUS,GBR,642440.31
NZL,GBR,286714.42
BRA,GBR,192246.51
COL,GBR,633652.28
ECU,GBR,40991.98
PER,GBR,63451.54
CIV,DEU,9958.2
COD,DEU,6565
EGY,DEU,1062
GHA,DEU,3687.63
MDG,DEU,2491.61
MUS,DEU,1656
NER,DEU,11106
NGA,DEU,6919
STP,DEU,18036
TUN,DEU,1631
ZAF,DEU,78437.74
ARE,DEU,736683
AZE,DEU,318084
CHN,DEU,2060247.53
CYP,DEU,4401
IDN,DEU,88288.46
IND,DEU,188623.16
IRN,DEU,1864
ISR,DEU,27061.72
JPN,DEU,4521.4
KAZ,DEU,629022.7
KOR,DEU,14021.58
LBN,DEU,5470
LKA,DEU,23886.2
MYS,DEU,268793.84
OMN,DEU,71993
PAK,DEU,1569.68
QAT,DEU,3156
THA,DEU,3416540.72
TUR,DEU,4762453.82
VNM,DEU,722456.45
XXB,DEU,1254.12
ALB,DEU,2713
AUT,DEU,137175968.9
BGR,DEU,1934564.99
BIH,DEU,20836.95
BLR,DEU,60598.41
BLX,DEU,470535753.9
CHE,DEU,269144131.7
CZE,DEU,33266001.5
DNK,DEU,56120155.19
ESP,DEU,40702494.12
EST,DEU,13714.75
FIN,DEU,4939848.55
FRA,DEU,198310941.5
GBR,DEU,56111001.1
GRC,DEU,470099.27
HRV,DEU,4156045.5
HUN,DEU,15767096.11
IRL,DEU,2178598.42
ISL,DEU,30329.45
ITA,DEU,112311634.8
LTU,DEU,3407519.93
LVA,DEU,1508457.46
MKD,DEU,162100.2
MNE,DEU,5975
NLD,DEU,310502762.9
NOR,DEU,9265473.24
POL,DEU,252199073.2
PRT,DEU,1329694.19
ROU,DEU,4708547.56
RUS,DEU,8729699.76
SRB,DEU,412408.91
SVK,DEU,5659767.56
SVN,DEU,592270.31
SWE,DEU,25395948.17
UKR,DEU,921959.11
CAN,DEU,194710.57
CUB,DEU,13024.88
DOM,DEU,584783.86
MEX,DEU,40183.56
NIC,DEU,12874.12
USA,DEU,5532713.55
AUS,DEU,20621.9
NZL,DEU,3167.71
BOL,DEU,9355.19
BRA,DEU,26467.58
COL,DEU,54330.81
ECU,DEU,172548.64
PER,DEU,46180.67
PRY,DEU,45626.08
URY,DEU,13710.1
VEN,DEU,14896.54
BEN,FRA,35105
CIV,FRA,82383975.73
EGY,FRA,3510
GHA,FRA,226384.85
MAR,FRA,18781.45
MDG,FRA,185476.12
MUS,FRA,9116.33
SEN,FRA,390421
STP,FRA,251026.51
TGO,FRA,115424.43
TUN,FRA,797851
ZAF,FRA,269319.4
ARE,FRA,43459.38
CHN,FRA,209044.29
ISR,FRA,536175.77
JPN,FRA,33270.07
KAZ,FRA,2536
KOR,FRA,9444.69
LBN,FRA,45738.24
MYS,FRA,857916.31
PHL,FRA,66727.24
SAU,FRA,1503
THA,FRA,110223.34
TUR,FRA,770458.94
VNM,FRA,25905.75
ALB,FRA,154239
AUT,FRA,19101401.44
BGR,FRA,189221.11
BLX,FRA,588891363.5
CHE,FRA,85812728.58
CZE,FRA,7116479.03
DEU,FRA,528898998
DNK,FRA,1314680.47
ESP,FRA,108465599
FIN,FRA,19452.58
GBR,FRA,49465907.2
GRC,FRA,1202411.79
HRV,FRA,21521.56
HUN,FRA,3952924.59
IRL,FRA,2389586.38
ISL,FRA,15488
ITA,FRA,270762410.3
LTU,FRA,8674466.36
LVA,FRA,12977.38
MDA,FRA,30244.07
MKD,FRA,5595.79
NLD,FRA,178370655.3
NOR,FRA,116671.29
POL,FRA,51504239.29
PRT,FRA,1012663.75
ROU,FRA,169357.96
RUS,FRA,948283
SRB,FRA,41547.03
SVK,FRA,6657438.84
SVN,FRA,3513780.92
SWE,FRA,17846027.01
CAN,FRA,1638361.57
CRI,FRA,6127.57
DMA,FRA,51697.68
DOM,FRA,363080.18
MEX,FRA,5203.67
PAN,FRA,2328.64
USA,FRA,1449598.63
AUS,FRA,13916.26
NCL,FRA,4080
NZL,FRA,1045.43
PYF,FRA,41251
ARG,FRA,7970.61
BRA,FRA,41646.19
CHL,FRA,3803.15
COL,FRA,1290.02
ECU,FRA,24647.95
PER,FRA,182046.03
URY,FRA,79877
VEN,FRA,23403.5
CPV,NLD,24164
GHA,NLD,3379.46
MDG,NLD,9321.63
STP,NLD,20055.86
UGA,NLD,1183.33
ZAF,NLD,73257.63
ARE,NLD,7577.92
CHN,NLD,407885.09
CYP,NLD,12050.5
HKG,NLD,28214.71
IDN,NLD,33916.99
IND,NLD,31170.76
ISR,NLD,13065
JOR,NLD,3520.82
JPN,NLD,7306.04
LBN,NLD,11198
LKA,NLD,358474.67
MYS,NLD,1277377.93
PHL,NLD,1808.17
SGP,NLD,1054129.96
THA,NLD,26403.43
TUR,NLD,1719851.71
VNM,NLD,737427.31
XXB,NLD,5580.52
AUT,NLD,5581805.84
BGR,NLD,1082829.04
BLX,NLD,402314625.6
CHE,NLD,15834554.4
CZE,NLD,7912836.91
DEU,NLD,259628568.4
DNK,NLD,4854989.94
ESP,NLD,8915523.53
EST,NLD,45036.18
FIN,NLD,284988.41
FRA,NLD,108617421.1
GBR,NLD,98904971.12
GRC,NLD,3837075.3
HRV,NLD,82235.76
HUN,NLD,3882594.59
IRL,NLD,1674289.51
ISL,NLD,10043.95
ITA,NLD,77195274.46
LTU,NLD,750181.1
LVA,NLD,163773.29
MKD,NLD,28448
MLT,NLD,14107.39
NOR,NLD,55870.86
POL,NLD,91144973.75
PRT,NLD,435439.33
ROU,NLD,898165.81
RUS,NLD,3330797.87
SRB,NLD,197381.77
SVK,NLD,2395640.34
SVN,NLD,981427.42
SWE,NLD,10289694.37
UKR,NLD,167876.48
CAN,NLD,1263146.84
GRD,NLD,18127.87
MEX,NLD,4280.72
USA,NLD,16140539.22
AUS,NLD,35701.12
NZL,NLD,50381.48
ARG,NLD,1968284.34
BOL,NLD,5357.49
BRA,NLD,63631.01
COL,NLD,212713.32
ECU,NLD,855359.34
PER,NLD,20485.53
URY,NLD,3763.73
CIV,ITA,17341.94
GHA,ITA,21469.36
STP,ITA,62024.8
ARE,ITA,15623
AZE,ITA,87136
CHN,ITA,2075.81
HKG,ITA,12918
