country_origin_id,country_destination_id,export_val
IDN,QAT,1204.49
IDN,SGP,69046606.17
IDN,THA,5953633.41
IDN,BLX,650959.51
IDN,CHE,120806.03
IDN,CZE,58604.97
IDN,DEU,2310230.46
IDN,FIN,26365.4
IDN,FRA,118159.07
IDN,ITA,2779.56
IDN,NLD,909491.29
IDN,NOR,4852.15
IDN,RUS,6194.73
IDN,CAN,6206025.71
IDN,USA,8978957
IDN,AUS,55098.33
IDN,NZL,1895.56
IDN,COL,118597.04
PNG,HKG,10359.17
PNG,JPN,83150.15
PNG,MYS,56172730.33
PNG,SGP,5527146.83
PNG,THA,8712346.8
PNG,BLX,13103389.25
PNG,DEU,2635150.92
PNG,FRA,528645.71
PNG,NLD,104066.24
PNG,RUS,2528.33
PNG,USA,32137671.04
PNG,AUS,159122.59
PNG,NZL,26561.02
MYS,IDN,10970218
MYS,JPN,7916414
MYS,PHL,628144.78
MYS,SGP,27630730.63
MYS,THA,260011
MYS,XXB,8986.4
MYS,BLX,290218
MYS,DEU,1019026.32
MYS,EST,226284
MYS,FRA,1647.12
MYS,NLD,1634947.47
MYS,USA,1001268.05
MYS,NZL,1451822
UGA,DZA,512959.08
UGA,ZAF,186377.88
UGA,ARE,28643
UGA,IDN,1446891
UGA,IND,465025.32
UGA,MYS,26847046.1
UGA,SGP,15545302.81
UGA,AUT,1048898.48
UGA,BLX,2092592.78
UGA,CHE,30540.93
UGA,CZE,4896.18
UGA,DEU,8541697.47
UGA,ESP,7160396.34
UGA,EST,72042.04
UGA,GBR,477156
UGA,ITA,4151869.58
UGA,NLD,7972824.18
UGA,PRT,57986
UGA,RUS,268594.43
UGA,CAN,1388.87
UGA,MEX,153783
EST,ARM,2892849
EST,JPN,2367026
EST,KAZ,7644609
EST,MYS,735505
EST,SGP,1298780.57
EST,BLR,20738417
EST,BLX,210108.69
EST,FIN,7366.64
EST,HRV,225218.47
EST,LVA,1436.51
EST,NLD,49968.99
EST,RUS,65042878
EST,UKR,29363423
DEU,BHR,1330.53
DEU,JPN,610303
DEU,QAT,1043.48
DEU,SGP,61604.43
DEU,AUT,9820956.14
DEU,BGR,6512.99
DEU,BLX,1569764.37
DEU,CHE,83732.8
DEU,CZE,19381.75
DEU,DNK,2700213.2
DEU,ESP,1254975.33
DEU,FIN,3444.17
DEU,FRA,1079834.94
DEU,GBR,20883
DEU,GRC,515608.48
DEU,HRV,403427.83
DEU,HUN,7650.12
DEU,IRL,1885.15
DEU,ITA,18121788.27
DEU,LTU,10931.99
DEU,NLD,9770732.73
DEU,NOR,1276.4
DEU,POL,3176740.47
DEU,ROU,8459.54
DEU,RUS,1088941.82
DEU,SVN,5436.71
DEU,SWE,3217.99
DEU,UKR,3909
DEU,USA,382176.14
GBR,ZAF,2140
GBR,ARE,5656
GBR,BHR,8383.95
GBR,HKG,8587.49
GBR,JPN,3387.73
GBR,QAT,319143
GBR,AUT,12437.56
GBR,BGR,15545.38
GBR,BLX,1248659.7
GBR,CHE,69351.32
GBR,CZE,10417.78
GBR,DEU,16988
GBR,DNK,9768148.76
GBR,ESP,50919736.74
GBR,EST,5269
GBR,FIN,86756.56
GBR,FRA,496967.64
GBR,GRC,3536
GBR,HRV,1474
GBR,HUN,2921
GBR,IRL,19979.94
GBR,ITA,142216.47
GBR,LTU,1221
GBR,LVA,1102
GBR,MLT,2176.39
GBR,NLD,197603.7
GBR,NOR,5006.46
GBR,POL,7126
GBR,PRT,14334
GBR,ROU,5968.22
GBR,SVN,3511.06
GBR,SWE,70157.1
GBR,USA,37323.64
GBR,ECU,34628
GIN,CHN,42880
GIN,IND,1618824.65
GIN,MYS,1092494.25
GIN,VNM,128640
GIN,BLX,2409781.71
GIN,CHE,9229.51
GIN,DEU,17418788
GIN,ESP,4545562.38
GIN,EST,8669429.4
GIN,FRA,144720
GIN,NLD,4206717.07
GIN,RUS,1343646.74
GIN,USA,2219040
VEN,ZAF,40221
VEN,ISR,49389.68
VEN,JPN,10112137
VEN,KOR,6175.97
VEN,MYS,224276.35
VEN,BLX,2130386.97
VEN,CHE,2904892.85
VEN,DEU,545910.51
VEN,ESP,678787.07
VEN,EST,71279.89
VEN,FRA,1073294.81
VEN,GBR,301014.47
VEN,HUN,17135.38
VEN,ITA,366678.2
VEN,NLD,849896.11
VEN,RUS,20359.06
VEN,CAN,497916.48
VEN,USA,8435622.96
VEN,AUS,82293.72
VEN,ARG,92943.36
VEN,COL,1586683.38
VEN,PER,490654.83
COL,DZA,267199
COL,ZAF,2152
COL,IND,618702.81
COL,JPN,193997.18
COL,KOR,3385.32
COL,MYS,6387923.67
COL,BLX,2207010.65
COL,CHE,142520.3
COL,DEU,52485.49
COL,ESP,9022333.45
COL,EST,5654536.14
COL,FRA,55040.34
COL,GBR,114080.03
COL,ITA,1322248.58
COL,NLD,5729601.22
COL,RUS,38851.08
COL,SVK,2172.7
COL,CAN,78249.13
COL,GTM,1368.12
COL,MEX,7119527.1
COL,USA,2112042.76
COL,AUS,3544.49
COL,ARG,533592.78
TZA,DZA,1471290
TZA,ZAF,22835
TZA,IDN,141653
TZA,IND,1273410.85
TZA,JPN,644010.49
TZA,MYS,17446468.79
TZA,SGP,4089852.12
TZA,TUR,402539
TZA,AUT,891645.27
TZA,BLX,6208318.29
TZA,DEU,1079518.14
TZA,ESP,1543982.88
TZA,EST,72962.91
TZA,ISL,7004.71
TZA,ITA,476497.09
TZA,NLD,745484.27
TZA,SWE,5491
TZA,CAN,1615574.42
TZA,USA,696450.94
TZA,AUS,7200
LBR,BLX,3473880.16
LBR,DEU,5473635.6
LBR,ESP,1270528.66
LBR,NLD,27684591.24
TGO,ARM,749307.61
TGO,CHN,7046335.57
TGO,MYS,963369.76
TGO,BLX,2650830.46
TGO,CHE,566100.46
TGO,DEU,6383000.95
TGO,ESP,856489.2
TGO,EST,1944924.53
TGO,FRA,719398.08
TGO,ITA,2263922.37
TGO,NLD,11565739.09
GHA,TUN,6833452.7
GHA,ARM,973529.4
GHA,CHN,39893492.97
GHA,JPN,88896124.78
GHA,KAZ,14919958.25
GHA,KOR,13272499.29
GHA,MYS,240057148.9
GHA,PHL,323908.34
GHA,SGP,95788408.69
GHA,THA,26380240.92
GHA,TUR,69561499.09
GHA,AUT,57903234.51
GHA,BLR,23257051.7
GHA,BLX,138384622.8
GHA,CHE,71879114.24
GHA,CZE,6080.33
GHA,DEU,85667084.15
GHA,ESP,52208120.56
GHA,EST,46450240.8
GHA,FRA,149693602.4
GHA,GBR,42414300.02
GHA,ITA,57980137.03
GHA,LVA,4641491.94
GHA,NLD,313266300.6
GHA,RUS,37151993.48
GHA,SRB,11912640.65
GHA,UKR,26254888.32
GHA,CAN,25999122.99
GHA,MEX,95847.32
GHA,USA,194949778.5
GHA,AUS,513054.59
GHA,NZL,9470256.23
GHA,BRA,29086227.33
CIV,GHA,43112260
CIV,TUN,2998172.01
CIV,ARM,1265417.1
CIV,CHN,8756453.21
CIV,IDN,45948228
CIV,IND,6779581.02
CIV,JPN,8306622.93
CIV,KAZ,1121310.22
CIV,MYS,136721349.2
CIV,SGP,10805612.92
CIV,TUR,186709411.1
CIV,AUT,5094431.08
CIV,BIH,308856.57
CIV,BLX,498831062.4
CIV,CHE,18825503
CIV,DEU,409295033
CIV,ESP,92671187.28
CIV,EST,43684166.19
CIV,FRA,161533788.9
CIV,GBR,105303670.8
CIV,ITA,146077350.2
CIV,NLD,794632399.6
CIV,POL,22148815.13
CIV,RUS,96237507.31
CIV,SRB,1328788.05
CIV,SVK,22776856.85
CIV,UKR,6401275.13
CIV,CAN,99213999.54
CIV,MEX,22016239.4
CIV,USA,748882592.5
